fid,qc_id,corrltv,prd_fsc,ciclo,entidad,redi,estado,municip,parroqu,categor,subctgr,mnt_pry,fech_nc,cotizcn,mnt_pr_,nmbr_pr,dscrpc_,estts_p,huso_nc,hus_fnl,crd_nr_,crd_st_,tipo_br,cntdd__,undd_br,mtrls_c,mtrl_tp,mtrl_cn,clsfccn,motivo,longitd,latitud,nrmlzd_,ctgrs_m,icon_url
"101","100",PI-2022-C-11-E-255-00038343,2022,C11,ALCALDÍA DE SAN FELIPE (EDO. YARACUY),Occidental,Yaracuy,San Felipe,Albarico,Vialidad,Sistemas de Vías de Acceso (calles y avenidas),6517.32673267327,2022/09/26,8.08,6517.32673267327,"REHABILITACIÓN DE LA CARPETA ASFÁLTICA MEDIANTE BACHEO EN LA  AV.  PRINCIPAL DE ALBARICO,  SECTOR CENTRO, PARROQUIA ALBARICO, MUNICIPIO SAN FELIPE, ESTADO YARACUY","ESTE PROYECTO CONTEMPLA LA ADQUISICIÓN Y LA REHABILITACIÓN DE LA CARPETA ASFÁLTICA POR MEDIO DE BACHEO DE HUECOS  PUNTUALES DE LA  AV.  PRINCIPAL DE ALBARICO, PARROQUIA ALBARICO,  A TRAVÉS DE LA DEMOLICIÓN Y ACONDICIONAMIENTO DE LOS MISMOS, POSTERIO",Culminado,"19","19","1150098","533479",Rehabilitación o Mejora,920,m2,Si,Mezcla Asfáltica (Toneladas),"62",bacheo,Elementos no asfalticos,-68.6958975987454,10.3984590102954,-0.842441819751588,"1",./0.png
"102","101",PI-2022-C-11-E-255-00038344,2022,C11,ALCALDÍA DE SAN FELIPE (EDO. YARACUY),Occidental,Yaracuy,San Felipe,San Javier,Vialidad,Sistemas de Vías de Acceso (calles y avenidas),6517.32673267327,2022/09/26,8.08,6517.32673267327,"REHABILITACIÓN DE LA CARPETA ASFÁLTICA MEDIANTE BACHEO EN LA  AV.  LIBERTADOR DE MARÍN, SECTOR CENTRO, PARROQUIA SAN JAVIER, MUNICIPIO SAN FELIPE, ESTADO YARACUY","ESTE PROYECTO CONTEMPLA LA ADQUISICIÓN Y LA REHABILITACIÓN DE LA CARPETA ASFÁLTICA POR MEDIO DE BACHEO DE HUECOS  PUNTUALES DE LA  AV LIBERTADOR, PARROQUIA SAN JAVIER, A TRAVÉS DE LA DEMOLICIÓN Y ACONDICIONAMIENTO DE LOS MISMOS, POSTERIOR SE REALIZA",Culminado,"19","19","1149015","535959",Rehabilitación o Mejora,810,m2,Si,Mezcla Asfáltica (Toneladas),"62",bacheo,Elementos no asfalticos,-68.6774987075561,10.3891887938522,-0.842441819751588,"1",./0.png
"103","102",PI-2022-C-11-E-255-00038347,2022,C11,ALCALDÍA DE SAN FELIPE (EDO. YARACUY),Occidental,Yaracuy,San Felipe,San Javier,Vialidad,Sistemas de Vías de Acceso (calles y avenidas),3252.47524752475,2022/09/26,8.08,3252.47524752475,"REHABILITACIÓN DE LA CARPETA ASFÁLTICA MEDIANTE BACHEO EN CALLE PRINCIPAL DE SAN JAVIER, PARROQUIA SAN JAVIER, MUNICIPIO SAN FELIPE, ESTADO YARACYUY","ESTE PROYECTO CONTEMPLA LA ADQUISICIÓN Y LA REHABILITACIÓN DE LA CARPETA ASFÁLTICA POR MEDIO DE BACHEO DE HUECOS  PUNTUALES DE LA  AV.  PRINCIPAL DE SAN JAVIER, PARROQUIA SAN JAVIER, A TRAVÉS DE LA DEMOLICIÓN Y ACONDICIONAMIENTO DE LOS MISMOS, POSTE",Culminado,"19","19","1146637","536692",Rehabilitación o Mejora,452,m2,Si,Mezcla Asfaltica (Toneladas),"40",bacheo,Elementos no asfalticos,-68.6701004906829,10.3703602446503,-0.890222355743389,"1",./0.png
"104","103",PI-2022-C-11-E-255-00038348,2022,C11,ALCALDÍA DE SAN FELIPE (EDO. YARACUY),Occidental,Yaracuy,San Felipe,San Javier,Vialidad,Sistemas de Vías de Acceso (calles y avenidas),3341.58415841584,2022/09/26,8.08,3341.58415841584,"REHABILITACIÓN DE LA CARPETA ASFÁLTICA MEDIANTE BACHEO EN LA  AV.  SUCRE  DEL SECTOR MARIN, PARROQUIA SAN JAVIER, MUNICIPIO SAN FELIPE, ESTADO YARACUY.","ESTE PROYECTO CONTEMPLA LA ADQUISICIÓN Y LA REHABILITACIÓN DE LA CARPETA ASFÁLTICA POR MEDIO DE BACHEO DE HUECOS DE LA  AV. SUCRE EN MARÍN, PARROQUIA SAN JAVIER, A TRAVÉS DE LA DEMOLICIÓN Y ACONDICIONAMIENTO DE LOS MISMOS, POSTERIOR SE REALIZARÁ L",Culminado,"19","19","1149008","536195",Rehabilitación o Mejora,450,m2,Si,Mezcla Asfaltica (Toneladas),"40",bacheo,Elementos no asfalticos,-68.6759924758867,10.3881110140591,-0.888918262266737,"1",./0.png
"105","104",PI-2022-C-11-E-275-00038374,2022,C11,ALCALDÍA DE SANTOS MARQUINA (EDO. MÉRIDA),Los Andes,Mérida,Santos Marquina,Tabay,Vialidad,"Sistema Vial Nacional (troncal, local, ramal y sub-ramal)",44721.5346534653,2022/09/26,8.08,44721.5346534653,"MEJORAMIENTO INTEGRAL DE LA VIALIDAD PRINCIPAL, DESDE  EL SECTOR LAS CALAVERAS HASTA EL SECTOR EL PEDREGAL, DE LA PARROQUIA TABAY, MUNICIPIO SANTOS MARQUINA DEL ESTADO BOLIVARIANO DE MERIDA (2022)","SE REALIZARAN TRABAJOS DE REPARACIÓN, REMOCIÓN Y ACONDICIONAMIENTO EN LOS BACHES DE LA VÍA, CON MEZCLA  ASFÁLTICA EN CALIENTE, SEÑALIZACION Y DEMARCACIÓN CON PINTURA TRAFICO , LIMPIEZA DE CUNETAS Y DEZMALEZAMIENTO DE LOS LATERALES, PAISAJISMO, EN L",Culminado,"19","19","958587","276535",Rehabilitación o Mejora,15000,m2,Si,Ton De Asfalto,"50",heterogeneo_asf,Elementos no asfalticos,-71.1107420764326,8.61613684808943,-0.283329854046158,"1",./0.png
"106","105",PI-2022-C-11-E-320-00038392,2022,C11,ALCALDÍA DE VALMORE RODRÍGUEZ (EDO. ZULIA),Occidental,Zulia,Valmore Rodríguez,La Victoria,Vialidad,Sistemas de Vías de Acceso (calles y avenidas),73712.8712871287,2022/09/26,8.08,73712.8712871287,Reasfaltado y Bacheo de la Calle Negro Primero del Sector Residencias Militares de la Parroquia La Victoria del Municipio Valmore Rodriguez del Estado Zulia,"Rehabilitar la via a traves de un Plan de Bacheo y Reasfaltado mediante la colocacion de una carpeta Asfaltica en Caliente de espesor entre 5 y 10 cms. de ancho variable, para mejorar la transitabilidad de la misma y mejorar la calidad de vida de los hab",Culminado,"19","19","1102334","268014",Rehabilitación o Mejora,1960,m2,Si,Mezcla Asfaltica Caliente:Toneladas,"360",bacheo/carpeta,Elementos no asfalticos,-71.1181081698436,9.96359204312758,0.140953336100905,"2",./0.png
"107","106",PI-2022-C-11-E-42-00038383,2022,C11,ALCALDÍA DE BEJUMA (EDO. CARABOBO),Central,Carabobo,Bejuma,Urbana Bejuma,Vialidad,Sistemas de Vías de Acceso (calles y avenidas),5392.55189255189,2022/10/05,8.19,5392.55189255189,"REHABILITACION DE LA CARPETA ASFALTICA, CON LA IMPLEMENTACION DE BACHEO EN LA CALLE PAEZ, DESDE EL FINAL DE LA CALLE PAEZ SECTOR EL RINCON, HASTA LA CARRETERA PANAMERICANA, TRONCAL 11, DE LA PARROQUIA BEJUMA, MUNICIPIO BEJUMA, DEL ESTADO CARABOBO.","COMPRENDE LA REMOCIÓN Y LIMPIEZA DE LA CARPETA DE RODAMIENTO DETERIORADO, COLOCACIÓN DE ASFALTO EN CALIENTE EN LAS ÁREAS YA SANEADAS, COMPACTACION CON LA IMPLEMENTACION DE MINI RODILLO COMPACTADOR PARA  ASFALTO, CON LA MODALIDAD TIPO BACHEO, PARA  AS�",Culminado,"19","19","1124015","580967",Rehabilitación o Mejora,270,m2,Si,Mezcla Asfaltico (Tn),"65",bacheo,Elementos no asfalticos,-68.2586791892996,10.1897140594887,-0.858902704718503,"1",./0.png
"108","107",PI-2022-C-11-E-42-00038384,2022,C11,ALCALDÍA DE BEJUMA (EDO. CARABOBO),Central,Carabobo,Bejuma,Urbana Bejuma,Vialidad,Sistemas de Vías de Acceso (calles y avenidas),5392.55189255189,2022/10/05,8.19,5392.55189255189,"REHABILITACION DE LA CARPETA ASFALTICA, CON LA IMPLEMENTACION DE BACHEO EN LA CALLE VALENCIA, DESDE LA CALLE PAEZ CON CALLE VALENCIA SECTOR EL RINCON, HASTA LA AVENIDA LOS FUNDADORES, DE LA PARROQUIA BEJUMA, MUNICIPIO BEJUMA, DEL ESTADO
CARABOBO.","COMPRENDE LA REMOCIÓN Y LIMPIEZA DE LA CARPETA DE RODAMIENTO DETERIORADO, COLOCACIÓN DE ASFALTO EN CALIENTE EN LAS ÁREAS YA SANEADAS, COMPACTACION CON LA IMPLEMENTACION DE MINI RODILLO COMPACTADOR PARA  ASFALTO, CON LA MODALIDAD TIPO BACHEO, PARA  AS�",Culminado,"19","19","1124451","581403",Rehabilitación o Mejora,270,m2,Si,Mezcla Asfaltico (Tn),"65",bacheo,Elementos no asfalticos,-68.2598569679855,10.1857012989433,-0.858902704718503,"1",./0.png
"109","108",PI-2022-C-11-E-42-00038388,2022,C11,ALCALDÍA DE BEJUMA (EDO. CARABOBO),Central,Carabobo,Bejuma,No Urbana Canoabo,Vialidad,"Sistema Vial Nacional (troncal, local, ramal y sub-ramal)",21570.2075702076,2022/10/05,8.19,21570.2075702076,"REHABILITACION DE LA CARPETA ASFALTICA, CON LA IMPLEMENTACION DE BACHEO EN LA VIA PRINCIPAL CANOABO, DESDE LA AVENIDA BOLIVAR SECTOR BOQUERON, HASTA EL SECTOR LAS ROSAS, DE LA PARROQUIA CANOABO, MUNICIPIO BEJUMA, DEL ESTADO CARABOBO.","COMPRENDE LA REMOCIÓN Y LIMPIEZA DE LA CARPETA DE RODAMIENTO DETERIORADO, COLOCACIÓN DE ASFALTO EN CALIENTE EN LAS ÁREAS YA SANEADAS, COMPACTACION CON LA IMPLEMENTACION DE MINI RODILLO COMPACTADOR PARA  ASFALTO, CON LA MODALIDAD TIPO BACHEO, PARA  AS�",Culminado,"19","19","1134580","579986",Rehabilitación o Mejora,1100,m2,Si,Mezcla Asfaltico (Tn),"260",bacheo,Elementos no asfalticos,-68.2798423932731,10.3061365283307,-0.622145515950378,"1",./0.png
"110","109",PI-2022-C-11-E-42-00038389,2022,C11,ALCALDÍA DE BEJUMA (EDO. CARABOBO),Central,Carabobo,Bejuma,No Urbana Simón Bolívar,Vialidad,Sistemas de Vías de Acceso (calles y avenidas),21570.2075702076,2022/10/05,8.19,21570.2075702076,"REHABILITACION DE LA CARPETA ASFALTICA, CON LA IMPLEMENTACION DE BACHEO EN LA VIA PRINCIPAL CHIRGUA , DESDE LA CARRETERA PANAMERICANA, TRONCAL 11 SECTOR LA MONA, HASTA EL SECTOR POTRERITO, PARROQUIA SIMON BOLIVAR, MUNICIPIO BEJUMA, DEL ESTADO CARABOBO.","COMPRENDE LA REMOCIÓN Y LIMPIEZA DE LA CARPETA DE RODAMIENTO DETERIORADO, COLOCACIÓN DE ASFALTO EN CALIENTE EN LAS ÁREAS YA SANEADAS, COMPACTACION CON LA IMPLEMENTACION DE MINI RODILLO COMPACTADOR PARA  ASFALTO, CON LA MODALIDAD TIPO BACHEO, PARA  AS�",Culminado,"19","19","1131232","588420",Rehabilitación o Mejora,1100,m2,Si,Mezcla Asfaltico (Tn),"260",bacheo,Elementos no asfalticos,-68.1960177491936,10.1421772695661,-0.622145515950378,"1",./0.png
"111","210",PI-2022-C-6-E-123-00037415,2022,C6,ALCALDÍA DE GUARAQUE (EDO. MÉRIDA),Los Andes,Mérida,Guaraque,Guaraque,Vialidad,"Sistema Vial Nacional (troncal, local, ramal y sub-ramal)",33410.6566037736,2022/06/14,5.3,33410.6566037736,CONSTRUCCIÓN DE PAVIMENTO RÍGIDO EN EL SECTOR EL BUITRE PARROQUIA GUARAQUE ESTADO BOLIVARIANO DE MERIDA,CONSTRUCCIÓN DE 100 MTS LINEALES DE PAVIMENTO RÍGIDO EN EL SECTOR EL BUITRE PARA LA REPARACIÓN DE LA CALZADA QUE SE ENCUENTRA EN MAL ESTADO,Culminado,"19","19","912542","198364",Rehabilitación o Mejora,100,Metros,Si,Malla Electro Soldada 4*4*100,"3",heterogeneo_asf,Elementos no asfalticos,-71.7378562643894,8.24697663962884,-0.448862595186324,"1",./0.png
"112","110",PI-2022-C-11-E-67-00038349,2022,C11,ALCALDÍA DE CARDENAL QUINTERO (EDO. MÉRIDA),Los Andes,Mérida,Cardenal Quintero,Santo Domingo,Vialidad,"Sistema Vial Nacional (troncal, local, ramal y sub-ramal)",74274.1559405941,2022/09/26,8.08,74274.1559405941,"REHABILITACIÓN INTEGRAL DE LA VÍA PRINCIPAL, TRONCAL OO1 MÉRIDA-BARINAS ,DESDE EL SECTOR LA VEGA HASTA ARACAY DEL MUNICIPIO CARDENAL QUINTERO DEL ESTADO BOLIVARIANO DE MÉRIDA.","REHABILITACIÓN INTEGRAL DESDE EL SECTOR LA VEGA HASTA ARACAY, TROCAL 001, DE LA PARROQUIA SANTO DOMINGO, DONDE SE VAN A SUSTITUIR LA CARPETA ASFÁLTICA QUE SE ENCUENTRE EN MALAS CONDICIONES, POR ASFALTO CALIENTE, ASÍ COMO TAMBIÉN SE VAN A REALIZAR TRA",Culminado,"19","19","980701","321885",Rehabilitación o Mejora,25000,m2,Si,Asfalto Caliente Tn,"300",heterogeneo_asf,Elementos no asfalticos,-70.6934591126211,8.86170691909282,0.149167639786247,"2",./0.png
"113","111",PI-2022-C-12-E-156-00038464,2022,C12,ALCALDÍA DE LANDER (EDO. MIRANDA),Central,Miranda,Lander,Ocumare Del Tuy,Vialidad,Sistemas de Vías de Acceso (calles y avenidas),41302.3473053892,2022/10/19,8.35,41302.3473053892,"Rehabilitación de la Calle Principal del Sector San Basilio,  desde el Pimpineo hasta la calle El Tanque Parroquia Ocumare del tuy, Municipio Tomás Lander, Estado Bolivariano de Miranda",Comprende en el mejoramiento de la vialidad en tramos sectorizados mediante bacheo y colocación de 350 toneladas de asfalto en caliente con el fin de mejorar la transitabilidad.,Culminado,"19","19","1117967","742190",Rehabilitación o Mejora,750,m2,Si,Tonelada Metricas,"350",bacheo/carpeta,Elementos no asfalticos,-66.7897097635129,10.1083015385476,-0.333369068659938,"1",./0.png
"114","112",PI-2022-C-12-E-188-00038467,2022,C12,ALCALDÍA DE MIRANDA (EDO. CARABOBO),Central,Carabobo,Miranda,Urbana Miranda,Vialidad,Sistemas de Vías de Acceso (calles y avenidas),30000,2022/10/19,8.35,30000,REHABILITACION DE LA AVENIDA PRINCIPAL CARLOS LUIS BRANTS,"ESCANIFICACION DE 4000 MTS2 CON MAQUINA PERFILADORA, BACHEO DE 300MTS2, SUMINISTRO, TRANSPORTE Y COLOCACION DE 250 TONELADAS DE ASFALTO TIPO III O TIPO IV, COLOCACION DE 4300 MTS2 DE RIEGO DE ADHERENCIA",Culminado,"19","19","1122244","568442",Rehabilitación o Mejora,4000,m2,Si,Mezcla Asafaltica En (Ton),"250",bacheo,Elementos no asfalticos,-68.377944273621,10.1513178394929,-0.498776963834816,"1",./0.png
"115","113",PI-2022-C-12-E-188-00038477,2022,C12,ALCALDÍA DE MIRANDA (EDO. CARABOBO),Central,Carabobo,Miranda,Urbana Miranda,Vialidad,Rural,11530.5389221557,2022/10/19,8.35,11530.5389221557,"MEJORAS DE LA VIALIDAD AGRICOLA EN LA ZONA SUR DEL MUNICIPIO, DESDE EL SECTOR SAN PABLO HASTA EL SECTOR SANTA ROSA DEL MUNICIPIO MIRANDA ESTADO CARABOBO","MEJORAS  DE 12 KM DE  LA VIA AGRICOLA  , USANDO MAQUINARIA PESADA D-3, EN EL ASENTAMIENTO CAMPESINO  DENOMINADO SANTA ROSA MUNICIPIO MIRANDA ESTADO CARABOBO",Culminado,"19","19","1114230","572896",Rehabilitación o Mejora,12000,Metros,,,,heterogeneo_asf,Por descripción,-68.3864435132947,10.1124536330242,-0.769074327679216,"1",./0.png
"116","114",PI-2022-C-12-E-189-00038461,2022,C12,ALCALDÍA DE MIRANDA (EDO. FALCÓN),Occidental,Falcón,Miranda,San Gabriel,Vialidad,Sistemas de Vías de Acceso (calles y avenidas),45600.9580838323,2022/10/19,8.35,45600.9580838323,"MANTENIMIENTO CORRECTIVO DE LA VIALIDAD DE LA CALLE EL SOL ENTRE AV TIRSO SALAVERRIA Y AV. PINTO SALINA, SECTOR BOBARE, PARROQUIA SAN GABRIEL MUNICIPIO MIRANDA","CONSISTE BÁSICAMENTE EN REHABILITACIÓN DE  ALGUNOS TRAMOS EN CONCRETO, ADEMAS DE LA  REMOCIÓN DE LA CARPETA ASFÁLTICA , APLICANDO LA TÉCNICA DEL BACHEO.",Culminado,"19","19","1260987","428129",Rehabilitación o Mejora,4200,m2,Si,Asfalto Tipo Iv (Toneladas),"200",heterogeneo_asf,Elementos no asfalticos,-69.6568405317291,11.4070048878723,-0.27045964446455,"1",./0.png
"117","115",PI-2022-C-12-E-239-00038451,2022,C12,ALCALDÍA DEL MUNICIPIO BETIJOQUE (EDO. TRUJILLO),Los Andes,Trujillo,Rafael Rangel,Betijoque,Vialidad,Sistemas de Vías de Acceso (calles y avenidas),64926.5652694611,2022/10/19,8.35,64926.5652694611,"REHABILITACIÓN EN PAVIMENTO FLEXIBLE DE LA AVENIDA 5, ENTRE LAS CALLES 9 Y 31 DE LA POBLACIÓN DE BETIJOQUE, PARROQUIA BETIJOQUE, MUNICIPIO RAFAEL RANGEL, ESTADO TRUJILLO","Este proyecto contempla la rehabilitación de la avenida 5 en pavimento asfáltico. Trabajos a realizar comprenden: 890 m2 de demolición de  pavimento asfáltico, colocación de 4000 m2 de riego de adherencia, colocación de 720 ton. de asfalto tipo IV",Culminado,"19","19","1038148","309227",Rehabilitación o Mejora,4000,m2,,,,heterogeneo_asf,Por descripción,-70.7311975875752,9.36837733016715,0.012367269377244,"2",./0.png
"118","116",PI-2022-C-12-E-332-00038480,2022,C12,ALCALDÍA DEL MUNICIPIO TOCOPERO (ESTADO FALCON),Occidental,Falcón,Tocópero,Capital Tocópero,Vialidad,Rural,9101.79640718563,2022/10/19,8.35,9101.79640718563,"BACHEO EN LA VIA PRINCIPAL DEL SECTOR ROSA, MUNIICPIO TOCOPERO, ESTADO FALCON","CONSISTE EN  REMOCION DE PAVIMENTO FLEXIBLE, ACONDICIONAMIENTO, BOTE Y CARGA, TRANSPORTE DEL MATERIAL, BACHEO EN 400 MTS LINEALES DE LA VIA",Culminado,"19","19","1273299","468300",Rehabilitación o Mejora,2100,m2,Si,Asfalto Tipo Iii. Toneladas Metricas,"80",bacheo,Elementos no asfalticos,-69.2970218489977,11.5177405567843,-0.804618553711926,"1",./0.png
"119","117",PI-2022-C-12-E-54-00038504,2022,C12,ALCALDÍA DE BOLÍVAR (EDO. YARACUY),Occidental,Yaracuy,Bolívar,Capital Bolívar,Vialidad,Sistemas de Vías de Acceso (calles y avenidas),44389.2240762813,2022/10/25,8.39,44389.2240762813,"REHABILITACION INTEGRAL DE LA CARPETA ASFALTICA, BACHEO Y DEMARCACION EN EL TRAMO VIAL
DESDE LA CALLE PAEZ  CENTRO AROA HASTA  CALLE PRINCIPAL EL CEMENTERIO CARAMAPAMPA, AROA, MUNICIPIO
BOLIVAR, ESTADO YARACUY.","EL OBJETO DEL PROYECTO CONSISTE EN LA REHABILITACION DE LA CARPETA ASFALTICA DEL
TRAMO VIAL DESDE LA CALLE PAEZ  CENTRO AROA HASTA  CALLE PRINCIPAL EL CEMENTERIO CARAMAPAMPA
COLOCACION DE 270 TONELADA DE MEZCLA ASFALTICA, DEMARCACION DE VIAS, PINTURA D",Culminado,"19","19","1153545","511028",Rehabilitación o Mejora,1800,m2,Si,Mezcla Asfaltica (Toneladas),"270",bacheo/carpeta,Elementos no asfalticos,-68.8952983074487,10.4418541854882,-0.28819316178491,"1",./0.png
"120","118",PI-2022-C-12-E-63-00038493,2022,C12,ALCALDÍA DE CAMPO ELÍAS (EDO. MÉRIDA),Los Andes,Mérida,Campo Elías,Jají,Vialidad,"Sistema Vial Nacional (troncal, local, ramal y sub-ramal)",58582.6347305389,2022/10/19,8.35,58582.6347305389,"MEJORAMIENTO DE CARRETERA LOCAL (LO04) DESDE LA ESCUELA TECNICA AGOPECUARIA MISTAJA HASTA LA ENTRADA AL SECTOR DE PARAMITO. PARROQUIA JAJI. MUNICIPIO CAMPO ELIAS DEL ESTADO BOLIVARIANO DE MERIDA.
","El proyecto consiste en el mejoramiento de la carretera local LO04 de la parroquia  Jaji. Con la construcción de pavimento rígido y cunetas  en varios tramos del eje vial, reconstrucción de tubería de concreto  48"" en alcantarilla, limpieza de latera",Culminado,"19","19","953652","240983",Sin Tipo Obra,0,,Si,Tubo De Concreto (M),"15",heterogeneo_asf,Elementos no asfalticos,-71.3454612497857,8.60928022385991,-0.080475055250172,"1",./0.png
"121","119",PI-2022-C-12-E-96-00038466,2022,C12,ALCALDÍA DE ESCUQUE (EDO. TRUJILLO),Los Andes,Trujillo,Escuque,Santa Rita,Vialidad,Rural,8343.26579261025,2022/10/25,8.39,8343.26579261025,"REHABILITACION DE LA VIALIDAD RURAL EN PAVIMENTO RIGIDO EN LA CALLE LOS MOLINOS, DE LA POBLACION DE LA MATA, PARROQUIA SANTA RITA, MUNICIPIO ESCUQUE, ESTADO TRUJILLO.","EL PRESENTE PROYECTO CONSISTE EN LA RECUPERACION DE UN TRAMO EN PAVIMENTO RIGIDO EN LA CALLE LOS MOLINOS, EL CUAL SE ENCUENTRA TOTALMENTE DETERIORADO, POR LO QUE SE HACE NECESARIO UNA EXCAVACION, UNA COLOCACION DE PIEDRA PICADA, COLOCACION DE MALLA TRUCK",Culminado,"19","19","1029709","319323",Rehabilitación o Mejora,70,m2,Si,Malla Electrosoldada (Kg),"95",heterogeneo_asf,Elementos no asfalticos,-70.6450280358562,9.31138426557981,-0.815719517873839,"1",./0.png
"122","120",PI-2022-C-13-E-339-00038664,2022,C13,GOBERNACIÓN DE AMAZONAS,Sur,Amazonas,Autónomo Atures,Luis Alberto Gómez,Vialidad,Sistemas de Vías de Acceso (calles y avenidas),138178.096212897,2022/11/17,9.77,138178.096212897,"Nombre del Proyecto

REHABILITACIÓN DE LA CARPETA ASFÁLTICA PARA MEJORAR LA VIALIDAD DE LA AVENIDA PERIMETRAL, EN LA CIUDAD DE PUERTO AYACUCHO, MUNICIPIO ATURES, DEL ESTADO AMAZONAS.","COMPRA DE MATERIAL ASFÁLTICO Y GRANULAR, PARA LA CONTINUACIÓN DEL ASFALTADO DE LA CIUDAD DE PUERTO AYACUCHO, MEDIANTE LA EMPRESA ASFALTO Y PAVIMENTOS AMAZONAS C.A, PERTENECIENTE A LA GOBERNACIÓN DEL ESTADO AMAZONAS, EN LA AVENIDA PERIMETRAL DESDE LA R",Culminado,"19","19","627088","655485",Rehabilitación o Mejora,6000,m2,Si,Material Asfaltico A-30 (Ton),"5",heterogeneo_asf,Elementos no asfalticos,-67.599822421497,5.65021146462912,1.08439073709654,"2",./1.png
"123","121",PI-2022-C-13-E-343-00038669,2022,C13,GOBERNACIÓN DE BARINAS,Los LLanos,Barinas,Barinas,Alto Barinas,Vialidad,Sistemas de Vías de Acceso (calles y avenidas),30706.2436028659,2022/11/17,9.77,30706.2436028659,"REHABILITACION Y BACHEO AVENIDA ZULIA, SECTOR ALTO BARINAS NORTE, PARROQUIA ALTO BARINAS, MUNICIPIO BARINAS, ESTADO BARINAS","EL PROYECTO CONSISTE EN EL BACHEO Y REHABILITACION CON MEZCLA  ASFALTICA DE LA AVENIDA ZULIA, SECTOR ALTO BARINAS  NORTE",Culminado,"19","19","953587","361946",Rehabilitación o Mejora,4662,m2,Si,Toneladas De Asfalto,"187",bacheo/carpeta,Elementos no asfalticos,-70.2551715223249,8.6185835633532,-0.488441211032823,"1",./0.png
"124","122",PI-2022-C-13-E-348-00038533,2022,C13,GOBERNACIÓN DE FALCÓN,Occidental,Falcón,Miranda,San Gabriel,Vialidad,Sistemas de Vías de Acceso (calles y avenidas),66815.4698055271,2022/11/17,9.77,66815.4698055271,"REHABILITACIÓN DE LA AV. RAMÓN ANTONIO MEDINA DESDE LA PROG: 0+000 HASTA LA PROG: 1+900, PARROQUIA SAN GABRIEL, MUNICIPIO MIRANDA, ESTADO FALCÓN.","SE PLANTEA REALIZAR LAS SIGUIENTES ACTIVIDADES EN TRAMOS SECTORIZADOS DE LA AVENIDA EN ESTUDIO, COMPRENDIDOS ENTRE LAS PROGRESIVAS 0+000 (PLAZA RAMÓN ANTONIO MEDINA) Y LA PROGRESIVA 1+900 (CALLE LAS BRISAS): -BACHEOS DE PAVIMIETOS ASFALTICOS CON EQUIPO",Culminado,"19","19","1261828","428906",Rehabilitación o Mejora,29260,m2,Si,Mezcla Asfáltica Tipo Iv,"756",bacheo,Elementos no asfalticos,-69.6605705080398,11.3988033763714,0.040011060092115,"2",./0.png
"125","123",PI-2022-C-13-E-350-00038588,2022,C13,GOBERNACIÓN DE LARA,Occidental,Lara,Iribarren,Unión,Vialidad,Sistemas de Vías de Acceso (calles y avenidas),76765.6090071648,2022/11/17,9.77,76765.6090071648,"Rehabilitación integral de la Avenida Circunvalación Norte en el tramo desde Distribuidor El Trompillo hasta Distribuidor San Francisco, municipio Iribarren, estado Lara","Consiste en el mantenimiento de la vialidad en el tramo desde Distribuidor El Trompillo hasta Distribuidor San Francisco, mediante la ejecución de  limpieza, desmalezado de laterales e isla central, limpieza y/o barrido de carpeta asfáltica para la dem",Culminado,"19","19","1116090","461470",Rehabilitación o Mejora,1000,Metros,,,,heterogeneo_asf,Por descripción,-69.3429679795431,10.094938776468,0.185629623879759,"2",./0.png
"126","124",PI-2022-C-13-E-351-00038518,2022,C13,GOBERNACIÓN DE MÉRIDA,Los Andes,Mérida,Sucre,San Juan,Vialidad,"Sistema Vial Nacional (troncal, local, ramal y sub-ramal)",121358.136131013,2022/11/17,9.77,121358.136131013,"REHABILITACION INTEGRAL DE LA VIALIDAD DE 200MTS2 EN LA T007 ENTRE VILLA LIBERTAD Y LAS GONZALEZ, EN EL MUNICIPIO  SUCRE EN EL ESTADO BOLIVARIANO DE MERIDA","REHABILITACION INTEGRAL DE LA VIALIDAD DE 200MTS2 EN LA T007 ENTRE VILLA LIBERTAD Y LAS GONZALEZ EN EL MUNICIPIO  SUCRE DEL ESTADO BOLIVARIANO DE MERIDA, DEMOLICION, COLOCACION DE CARPETA ASFALTICA, BOTE DE ESCOMBROS, MEJORAMIENTOS DE LAS TANQUILLAS, COL",Culminado,"19","19","939430","242267",Rehabilitación o Mejora,200,m2,Si,Asfalto (Ton),"1600",heterogeneo_asf,Elementos no asfalticos,-71.3357741851417,8.49497143438687,0.838233534623807,"2",./1.png
